tradeN;symbol;type;shares;entrySignal;entryTime;entryPrice;exitSignal;exitTime;exitPrice;profit;runUp;drawDown
163;MTA.CLF;Long;2531;breakout_n;27/04/2007 00:00:00;3,95;volatility exit;11/05/2007 00:00:00;3,93;-50,62;480,89;-101,24
164;MTA.CIR;Long;3174;breakout_n;27/04/2007 00:00:00;3,15;volatility exit;11/05/2007 00:00:00;3,07;-253,919999999999;285,66;-380,88
165;MTA.GE;Long;1779;breakout_52;20/04/2007 00:00:00;5,62;volatility exit;11/05/2007 00:00:00;5,49;-231,27;284,64;-231,27
166;MTA.IGV;Long;1602;breakout_n;20/04/2007 00:00:00;6,24;volatility exit;11/05/2007 00:00:00;6,21;-48,06;480,6;-272,34
167;MTA.SGF;Long;1776;breakout_n;04/05/2007 00:00:00;5,63;volatility exit;11/05/2007 00:00:00;5,43;-355,2;213,12;-355,2
168;MTA.KME;Long;6849;breakout_52;04/05/2007 00:00:00;1,46;volatility exit;18/05/2007 00:00:00;1,47;68,49;684,9;-410,94
169;MTA.BSS;Long;435;breakout_n;18/05/2007 00:00:00;22,94;volatility exit;25/05/2007 00:00:00;22,86;-34,800000000001;491,55;-34,8
170;MTA.BAN;Long;6756;breakout_n;18/05/2007 00:00:00;1,48;volatility exit;01/06/2007 00:00:00;1,63;1013,4;2161,92;0
171;MTA.TFIN;Long;123;breakout_n;25/05/2007 00:00:00;81,1;volatility exit;01/06/2007 00:00:00;78,43;-328,41;179,58;-328,41
172;MTA.EM;Long;4629;breakout_n;01/06/2007 00:00:00;2,16;volatility exit;08/06/2007 00:00:00;2,15;-46,290000000001;509,19;-46,29
173;MTA.SAB;Long;345;breakout_n;01/06/2007 00:00:00;28,95;volatility exit;08/06/2007 00:00:00;27,59;-469,2;34,5;-469,2
174;MTA.SFL;Long;268;breakout_52;01/06/2007 00:00:00;37,24;volatility exit;08/06/2007 00:00:00;35,59;-442,2;144,72;-442,2
175;MTA.BAN;Long;5555;breakout_n;22/06/2007 00:00:00;1,8;volatility exit;29/06/2007 00:00:00;1,67;-722,150000000001;166,65;-722,15
176;MTA.SGF;Long;1739;breakout_n;06/07/2007 00:00:00;5,75;volatility exit;13/07/2007 00:00:00;5,58;-295,63;226,07;-295,63
177;MTA.BAN;Long;5128;breakout_52;13/07/2007 00:00:00;1,95;volatility exit;20/07/2007 00:00:00;1,91;-205,119999999999;358,96;-205,12
178;MTA.CSP;Long;3649;breakout_n;13/07/2007 00:00:00;2,74;volatility exit;20/07/2007 00:00:00;2,8;218,94;766,29;0
179;MTA.TFIN;Long;121;breakout_n;06/07/2007 00:00:00;82,56;volatility exit;27/07/2007 00:00:00;82,92;43,56;660,66;0
180;MTA.VLS;Long;1434;breakout_52;20/07/2007 00:00:00;6,97;volatility exit;27/07/2007 00:00:00;6,65;-458,879999999999;43,02;-501,9
181;MTA.GEO;Long;671;breakout_n;21/09/2007 00:00:00;14,89;volatility exit;28/09/2007 00:00:00;14,86;-20,130000000001;509,96;-20,13
182;MTA.GEO;Long;638;breakout_n;12/10/2007 00:00:00;15,65;volatility exit;19/10/2007 00:00:00;15,05;-382,8;127,6;-382,8
183;MTA.TFIN;Long;113;breakout_52;12/10/2007 00:00:00;88,45;volatility exit;19/10/2007 00:00:00;85,34;-351,43;253,12;-351,43
