tradeN;symbol;type;shares;entrySignal;entryTime;entryPrice;exitSignal;exitTime;exitPrice;profit;runUp;drawDown
61;MTA.MARR;Long;1706;breakout_52;30/06/2006 00:00:00;5,86;volatility exit;21/07/2006 00:00:00;5,94;136,48;682,4;0
62;MTA.BRE;Long;6024;breakout_n;18/08/2006 00:00:00;1,66;volatility exit;25/08/2006 00:00:00;1,6;-361,44;180,72;-361,44
63;MTA.BRE;Long;5917;breakout_n;15/09/2006 00:00:00;1,69;volatility exit;22/09/2006 00:00:00;1,63;-355,019999999999;177,51;-355,02
64;MTA.DLG;Long;3424;breakout_52;13/10/2006 00:00:00;2,92;volatility exit;20/10/2006 00:00:00;2,87;-171,199999999999;376,64;-171,2
65;MTA.BZU;Long;534;breakout_n;13/10/2006 00:00:00;18,71;volatility exit;27/10/2006 00:00:00;18,83;64,080000000001;608,76;0
66;MTA.BRE;Long;5813;breakout_n;06/10/2006 00:00:00;1,72;volatility exit;03/11/2006 00:00:00;1,75;174,39;755,69;-290,65
67;MTA.DAN;Long;1063;breakout_n;27/10/2006 00:00:00;9,4;volatility exit;10/11/2006 00:00:00;9,29;-116,929999999999;446,46;-116,93
68;MTA.IRE;Long;4115;breakout_52;20/10/2006 00:00:00;2,43;volatility exit;10/11/2006 00:00:00;2,35;-329,2;205,75;-534,95
69;MTA.BZU;Long;497;breakout_n;10/11/2006 00:00:00;20,11;volatility exit;17/11/2006 00:00:00;19,48;-313,11;253,47;-313,11
70;MTA.ITM;Long;299;breakout_n;13/10/2006 00:00:00;33,36;volatility exit;24/11/2006 00:00:00;33,85;146,510000000001;876,07;0
71;MTA.DAN;Long;1006;breakout_52;24/11/2006 00:00:00;9,94;volatility exit;01/12/2006 00:00:00;10,4;462,760000000001;1016,06;0
72;MTA.DLG;Long;3300;breakout_n;03/11/2006 00:00:00;3,03;volatility exit;01/12/2006 00:00:00;3,86;2739;3432;0
73;MTA.SG;Long;357;breakout_52;24/11/2006 00:00:00;27,99;volatility exit;01/12/2006 00:00:00;27,83;-57,12;467,67;-103,53
74;MTA.TIP;Long;5263;breakout_52;17/11/2006 00:00:00;1,9;volatility exit;01/12/2006 00:00:00;1,88;-105,26;421,04;-157,89
75;MTA.ACE;Long;930;breakout_n;28/07/2006 00:00:00;10,75;volatility exit;22/12/2006 00:00:00;14,09;3106,2;3803,7;0
76;MTA.IRE;Long;4032;breakout_n;01/12/2006 00:00:00;2,48;volatility exit;29/12/2006 00:00:00;2,47;-40,319999999999;524,16;-80,64
77;MTA.DAN;Long;760;breakout_52;15/12/2006 00:00:00;13,15;volatility exit;05/01/2007 00:00:00;14,72;1193,2;2272,4;-570
78;MTA.BRE;Long;5405;breakout_n;22/12/2006 00:00:00;1,85;volatility exit;12/01/2007 00:00:00;1,88;162,15;702,65;-216,2
79;MTA.CMB;Long;1615;breakout_n;22/12/2006 00:00:00;6,19;volatility exit;26/01/2007 00:00:00;7,12;1501,95;2115,65;-226,1
80;MTA.ITM;Long;275;breakout_n;15/12/2006 00:00:00;36,29;volatility exit;26/01/2007 00:00:00;37,5;332,75;877,25;0
81;MTA.DLG;Long;2336;breakout_n;19/01/2007 00:00:00;4,28;volatility exit;02/02/2007 00:00:00;4,03;-584;256,96;-584
82;MTA.BZU;Long;482;breakout_n;29/12/2006 00:00:00;20,71;volatility exit;09/02/2007 00:00:00;20,2;-245,820000000001;448,26;-245,82
83;MTA.ARN;Long;1919;breakout_n;02/02/2007 00:00:00;5,21;volatility exit;09/02/2007 00:00:00;5,12;-172,71;345,42;-172,71
